coil_type,turns1,turns2,r1,r2,wire_d,pitch1,pitch2,Lcore,Lpri,Lsec,L
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00174407737714503,0.00179171957485374,0.00720016957237258,5.09525235331442e-06,2.48087281886049e-05,2.99039805419193e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00197427694438191,0.00111101871720502,0.00508764632551049,5.10874853485201e-06,1.52725847127328e-05,2.03813332475849e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00105052762748765,0.000771388938263635,0.00555366509122688,5.60503221360768e-06,1.76074624429371e-05,2.32124946565448e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00188821594601132,0.00162002704218122,0.00725872037514582,5.0690467629415e-06,2.46310971708023e-05,2.97001439337438e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00124018513071064,0.0018010058621918,0.00706498036087997,5.27716039471885e-06,2.49955738637325e-05,3.02727342584514e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00120010840123045,0.00162508431230721,0.00797658104847723,5.33092075032598e-06,2.74439927654914e-05,3.27749135158174e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00111819397084,0.000974438608762555,0.00741248681658458,5.51538024866693e-06,2.61676404719586e-05,3.16830207206255e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00146296539562183,0.00164048740095631,0.00785143334642907,5.22376772445856e-06,2.79958075861978e-05,3.32195753106564e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.000924054936992291,0.00168285344916997,0.00718872733105379,5.43489036713591e-06,2.57296754648638e-05,3.11645658319997e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00150792899064673,0.00152009427267213,0.00589204021587334,5.22812647849528e-06,1.88020181591021e-05,2.40301446375974e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00148468273414992,0.00166557168783316,0.00543195338362101,5.21086770854011e-06,1.65281234418579e-05,2.1738991150398e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00171005208644832,0.00181351966959818,0.00754110320263382,5.10366645885711e-06,2.60041865863389e-05,3.1107853045196e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00176073996313884,0.00145061339256872,0.00692856727507786,5.1408684245127e-06,2.30651625311438e-05,2.82060309556565e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00130471982948043,0.000892785967674521,0.00521722984152434,5.44260560023305e-06,1.58240854966623e-05,2.12666910968954e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00107773347680316,0.00132053598550874,0.00610692452107801,5.45283126133513e-06,2.06309994452539e-05,2.6083830706589e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00100527127000725,0.000877655636426765,0.0078945843660738,5.59961428028089e-06,2.75946971302241e-05,3.3194311410505e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.000948162966130147,0.00124686248270922,0.00666473328333227,5.53326400433457e-06,2.33780548014751e-05,2.89113188058097e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.000814860952875832,0.00123044907463958,0.00645892157689353,5.60658245219648e-06,2.21732732368316e-05,2.77798556890281e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00114205056616045,0.000820517769230939,0.00650201225412291,5.5426243255913e-06,2.22148855494731e-05,2.77575098750643e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00102014792867341,0.00116679211157865,0.0056051748104038,5.51739496899241e-06,1.84573634771491e-05,2.39747584461415e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.0019290733713058,0.000921995013588831,0.00617908371854271,5.16013975015732e-06,1.89346131448657e-05,2.4094752895023e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00152175118775946,0.00176010508817831,0.00620857020092795,5.17988521485277e-06,2.09522750157852e-05,2.61321602306379e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00115818509739382,0.00192602201141656,0.00525614851568561,5.28123469048337e-06,1.56613637661737e-05,2.09425984566571e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00155103142696085,0.000848727453963131,0.0074323701643671,5.33710192584246e-06,2.60639627861396e-05,3.14010647119821e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.000883868693679107,0.00194367552615331,0.0064191621371824,5.38687474634157e-06,2.20385255330162e-05,2.74254002793578e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00131912514664803,0.00139723934021296,0.00758813056815033,5.32880247460308e-06,2.61026444800528e-05,3.14314469546559e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00162637323578255,0.00114951337545843,0.00770414927288638,5.24407013124515e-06,2.55997197717525e-05,3.08437899029976e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00140365348312166,0.000874549764771357,0.00565177785231973,5.39946542325279e-06,1.75798397624038e-05,2.29793051856566e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00127422245967294,0.00134780972784868,0.007015787872884,5.35826945909306e-06,2.39824450151734e-05,2.93407144742665e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00199815871194651,0.00170166537056867,0.00658414278191131,5.01936834250866e-06,2.18929253579315e-05,2.69122937004402e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00182490198011535,0.00158396901570029,0.00774963974143265,5.0971672545191e-06,2.61714286938528e-05,3.12685959483719e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00161711347762214,0.000788119260367809,0.0056799316863719,5.32154046008127e-06,1.84932143725468e-05,2.3814754832628e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00153190408218237,0.000855229721337635,0.00710064423594833,5.34432255867812e-06,2.39752530078638e-05,2.93195755665419e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00161082156436372,0.00120704232262789,0.00683430388328756,5.24054095024849e-06,2.33287107388805e-05,2.8569251689129e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00095052582348679,0.00111774888956663,0.00584896490415229,5.56510806517241e-06,1.93575205425345e-05,2.49226286077069e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00125587925345068,0.00103104127018467,0.00551818829715154,5.43433732507199e-06,1.78149473443044e-05,2.32492846693764e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.000809476333823589,0.00107801529682803,0.00699313781616792,5.6519063137448e-06,2.44172036058981e-05,3.00691099196429e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00136874245536057,0.00172146879917534,0.00731158727998674,5.24429767435326e-06,2.50602738145637e-05,3.03045714889169e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00149150474584081,0.001920586870105,0.00597511223741353,5.16112829658415e-06,1.95477589793602e-05,2.47088872759443e-05
